name,2012EI,2013EI,2014EI,2015EI,2016EI,2017EI,2018EI,Education,,2012CR,2013CR,2014CR,2015CR,2016CR,2017CR,2018CR,Criminality,,2012II,2013II,2014II,2015II,2016II,2017II,2018II,Income
Albania,0.72833333333333,0.73444444444444,0.73444444444444,0.73444444444444,0.74444444444444,0.74444444444444,,0.73675925925926,,195.68,193.92,286.88,256.29,206.88,187.46,199.19,218.04285714286,,0.57024401884727,0.57635497161625,0.57635497161625,0.57127983363544,0.56885179026952,0.56779913282923,0.58664359286472,0.5739326159541
Austria,0.84055555555556,0.83555555555556,0.84222222222222,0.845,0.85055555555556,0.85055555555556,,0.84407407407407,,1834.85,1896.69,1811.59,1699.59,1733.13,1511.37,1432.82,1702.8628571429,,0.93893332975021,0.94085228505435,0.93986586834326,0.93084493566797,0.92681224205033,0.9229375320624,0.93579289161729,0.93371986922083
Belgium,0.90666666666667,0.91888888888889,0.93055555555556,0.94,0.94333333333333,0.94333333333333,,0.93046296296296,,20890.86,2699.07,2550.94,2807.03,2678.69,2553.27,2551.877,5247.391,,0.92972659093029,0.93220766314127,0.93195506152492,0.92463874079088,0.91722889773116,0.9140605187417,0.92635380245299,0.92516732504474
Bosnia,0.67111111111111,0.68444444444444,0.70111111111111,0.69444444444444,0.71777777777778,0.71777777777778,,0.69777777777778,,223.35,217.46,204.38,182.32,170.61,150.99,144.07,184.74,,0.59063108228176,0.5988778872772,0.59973534879277,0.59714822259967,0.59481075651737,0.59451601353336,0.61204533868393,0.5982520928123
Bulgaria,0.76277777777778,0.77722222222222,0.78555555555556,0.81277777777778,0.80444444444444,0.80444444444444,,0.7912037037037,,684.34,695.36,638.46,596.32,507.93,631.2,568.79,617.48571428571,,0.65096801914335,0.65398320371002,0.65693937890379,0.65117091471634,0.65076485067778,0.65497503742032,0.67215046485563,0.65585026706103
Croatia,0.77777777777778,0.78611111111111,0.79222222222222,0.79277777777778,0.79333333333333,0.79333333333333,,0.78925925925926,,458.24067210279,382.90091425747,332.32023721275,370.47195453422,352.08796639486,339.3377810724,315.76476402273,364.44632708532,,0.74029701412586,0.74186237250065,0.73826027677921,0.73491998344114,0.72788732237842,0.73150415273749,0.74732412911139,0.73743646443917
Cyprus,0.77666666666667,0.78888888888889,0.79388888888889,0.79388888888889,0.80888888888889,0.80888888888889,,0.79518518518519,,139.13385826772,113.30708661417,90.787401574803,88.110236220472,71.732283464567,88.976377952756,70.157480314961,94.600674915636,,0.85996911721117,0.85024734514709,0.84302107953103,0.83985658931263,0.83228582843456,0.83228582843456,0.8456177666588,0.84332622210426
Czech Republic,0.86055555555556,0.88111111111111,0.89055555555556,0.89277777777778,0.89277777777778,0.89277777777778,,0.88509259259259,,1184.7943925234,1243.9906542056,1039,860.76635514019,726.32710280374,675.78504672897,615.85046728972,906.64485981308,,0.79605130149132,0.79581801074012,0.79179592906751,0.78749944744998,0.78163083970451,0.78700526250088,0.80421846514398,0.79200275087119
Denmark,0.94611111111111,0.97055555555556,0.95722222222222,0.95,0.95055555555556,0.95055555555556,,0.95416666666667,,4889.7101697822,4672.834848225,4368.6503172698,3944.2805693706,3963.1281083862,3784.6681529755,3263.0766592351,4126.6212607492,,0.97039082834725,0.97414170402003,0.97526090506887,0.96757143520855,0.96127600443037,0.95772096826301,0.96962934569185,0.9679987415757
Estonia,0.875,0.87555555555556,0.87,0.87055555555556,0.86722222222222,0.87055555555556,,0.87148148148148,,1430.3531179564,1266.4162283997,1206.2359128475,885.4996243426,704.65815176559,600.82644628099,587.07738542449,954.43812385961,,0.77481119374238,0.78650945549762,0.79251353484171,0.79002729465825,0.78782800816979,0.79115518269266,0.80999567905112,0.79040576409336
Finland,0.88555555555556,0.89888888888889,0.90222222222222,0.90222222222222,0.90222222222222,0.90222222222222,,0.89888888888889,,2376.0983547279,2405.2974145724,2384.7405532453,2292.9126740192,2157.7291629,2078.195624661,2046.0856987886,2248.7227832735,,0.93551535727722,0.9371729657609,0.93689795777912,0.92988686227835,0.9245060028813,0.92213028508377,0.93330785541466,0.93134532663933
France,0.81666666666667,0.82333333333333,0.83277777777778,0.83888888888889,0.83888888888889,0.83888888888889,,0.83157407407407,,1782.8787653955,2451.2316367414,2521.2019587476,2483.61923134,1712.8387001039,1742.6977296335,1762.6695355394,2065.3053653573,,0.91729855681996,0.91868503494635,0.91708948310993,0.90914299989299,0.90149154184186,0.89836640878306,0.90906947556378,0.91016335727971
Germany,0.93611111111111,0.93333333333333,0.93611111111111,0.94222222222222,0.94222222222222,0.94222222222222,,0.9387037037037,,1730.597068717,1745.426477655,1782.1960595867,1815.5574243152,1764.0881787602,1596.6278231619,1514.2023065834,1706.9564769685,,0.92788737634973,0.93001495703386,0.93138515869741,0.92533370758994,0.92029805024484,0.91823582393066,0.92985482160979,0.92614427077946
Greece,0.80444444444444,0.81055555555556,0.83055555555556,0.83388888888889,0.84055555555556,0.84055555555556,,0.82675925925926,,0,0,0,0,0,0,0,0,,0.82256544022303,0.81725770995389,0.81473835380428,0.80139491132078,0.78929775120508,0.78392153496209,0.79299005173965,0.80316653617268
